system,skip,num_nodes,VG_dt,VG_window,dt,t_total,t_acf_1e,t_acf_zero,T_dom_psd,T_peak_median
duffing,1,50,0.020000571444898425,1.0000285722449214,0.020000571444898425,700.0,0.44001257178776537,0.660018857681648,2.925797879939427,1.2800365724734775
duffing,1,100,0.020000571444898425,2.0000571444898427,0.020000571444898425,700.0,0.44001257178776537,0.660018857681648,2.925797879939427,1.2800365724734775
duffing,1,200,0.020000571444898425,4.0001142889796855,0.020000571444898425,700.0,0.44001257178776537,0.660018857681648,2.925797879939427,1.2800365724734775
duffing,1,300,0.020000571444898425,6.000171433469528,0.020000571444898425,700.0,0.44001257178776537,0.660018857681648,2.925797879939427,1.2800365724734775
duffing,1,400,0.020000571444898425,8.000228577959371,0.020000571444898425,700.0,0.44001257178776537,0.660018857681648,2.925797879939427,1.2800365724734775
duffing,1,500,0.020000571444898425,10.000285722449213,0.020000571444898425,700.0,0.44001257178776537,0.660018857681648,2.925797879939427,1.2800365724734775
duffing,16,50,0.3200091431183748,16.000457155918742,0.020000571444898425,700.0,0.44001257178776537,0.660018857681648,2.925797879939427,1.2800365724734775
duffing,16,100,0.3200091431183748,32.000914311837484,0.020000571444898425,700.0,0.44001257178776537,0.660018857681648,2.925797879939427,1.2800365724734775
duffing,16,200,0.3200091431183748,64.00182862367497,0.020000571444898425,700.0,0.44001257178776537,0.660018857681648,2.925797879939427,1.2800365724734775
duffing,16,300,0.3200091431183748,96.00274293551244,0.020000571444898425,700.0,0.44001257178776537,0.660018857681648,2.925797879939427,1.2800365724734775
duffing,16,400,0.3200091431183748,128.00365724734993,0.020000571444898425,700.0,0.44001257178776537,0.660018857681648,2.925797879939427,1.2800365724734775
duffing,16,500,0.3200091431183748,160.0045715591874,0.020000571444898425,700.0,0.44001257178776537,0.660018857681648,2.925797879939427,1.2800365724734775
lorenz,1,50,0.002000040000800016,0.1000020000400008,0.002000040000800016,100.0,0.3440068801376028,8.298165963319267,2.0480409608192165,0.7520150403008046
lorenz,1,100,0.002000040000800016,0.2000040000800016,0.002000040000800016,100.0,0.3440068801376028,8.298165963319267,2.0480409608192165,0.7520150403008046
lorenz,1,200,0.002000040000800016,0.4000080001600032,0.002000040000800016,100.0,0.3440068801376028,8.298165963319267,2.0480409608192165,0.7520150403008046
lorenz,1,300,0.002000040000800016,0.6000120002400048,0.002000040000800016,100.0,0.3440068801376028,8.298165963319267,2.0480409608192165,0.7520150403008046
lorenz,1,400,0.002000040000800016,0.8000160003200064,0.002000040000800016,100.0,0.3440068801376028,8.298165963319267,2.0480409608192165,0.7520150403008046
lorenz,1,500,0.002000040000800016,1.0000200004000082,0.002000040000800016,100.0,0.3440068801376028,8.298165963319267,2.0480409608192165,0.7520150403008046
lorenz,16,50,0.03200064001280026,1.6000320006400128,0.002000040000800016,100.0,0.3440068801376028,8.298165963319267,2.0480409608192165,0.7520150403008046
lorenz,16,100,0.03200064001280026,3.2000640012800257,0.002000040000800016,100.0,0.3440068801376028,8.298165963319267,2.0480409608192165,0.7520150403008046
lorenz,16,200,0.03200064001280026,6.400128002560051,0.002000040000800016,100.0,0.3440068801376028,8.298165963319267,2.0480409608192165,0.7520150403008046
lorenz,16,300,0.03200064001280026,9.600192003840077,0.002000040000800016,100.0,0.3440068801376028,8.298165963319267,2.0480409608192165,0.7520150403008046
lorenz,16,400,0.03200064001280026,12.800256005120103,0.002000040000800016,100.0,0.3440068801376028,8.298165963319267,2.0480409608192165,0.7520150403008046
lorenz,16,500,0.03200064001280026,16.00032000640013,0.002000040000800016,100.0,0.3440068801376028,8.298165963319267,2.0480409608192165,0.7520150403008046
mackeyglass,1,50,0.020000571444898425,1.0000285722449214,0.020000571444898425,700.0,8.820252007200205,12.180348009943142,20.480585159575988,35.30100860024572
mackeyglass,1,100,0.020000571444898425,2.0000571444898427,0.020000571444898425,700.0,8.820252007200205,12.180348009943142,20.480585159575988,35.30100860024572
mackeyglass,1,200,0.020000571444898425,4.0001142889796855,0.020000571444898425,700.0,8.820252007200205,12.180348009943142,20.480585159575988,35.30100860024572
mackeyglass,1,300,0.020000571444898425,6.000171433469528,0.020000571444898425,700.0,8.820252007200205,12.180348009943142,20.480585159575988,35.30100860024572
mackeyglass,1,400,0.020000571444898425,8.000228577959371,0.020000571444898425,700.0,8.820252007200205,12.180348009943142,20.480585159575988,35.30100860024572
mackeyglass,1,500,0.020000571444898425,10.000285722449213,0.020000571444898425,700.0,8.820252007200205,12.180348009943142,20.480585159575988,35.30100860024572
mackeyglass,16,50,0.3200091431183748,16.000457155918742,0.020000571444898425,700.0,8.820252007200205,12.180348009943142,20.480585159575988,35.30100860024572
mackeyglass,16,100,0.3200091431183748,32.000914311837484,0.020000571444898425,700.0,8.820252007200205,12.180348009943142,20.480585159575988,35.30100860024572
mackeyglass,16,200,0.3200091431183748,64.00182862367497,0.020000571444898425,700.0,8.820252007200205,12.180348009943142,20.480585159575988,35.30100860024572
mackeyglass,16,300,0.3200091431183748,96.00274293551244,0.020000571444898425,700.0,8.820252007200205,12.180348009943142,20.480585159575988,35.30100860024572
mackeyglass,16,400,0.3200091431183748,128.00365724734993,0.020000571444898425,700.0,8.820252007200205,12.180348009943142,20.480585159575988,35.30100860024572
mackeyglass,16,500,0.3200091431183748,160.0045715591874,0.020000571444898425,700.0,8.820252007200205,12.180348009943142,20.480585159575988,35.30100860024572
